Player,POS,Year,BBE,AVG,50th,55th,60th,65th,70th,75th,80th,85th,90th,95th,99th,MAX
Giancarlo Stanton,DH,2021,168,99.26,100.7,102.9,104.16,105.96,107.67,109.95,112.28,114.2,115.56,117.03,118.73,120.1
Vladimir Guerrero Jr.,1B/DH,2021,246,98.49,99.45,100.48,102.2,103.9,106.1,107.53,110.2,111.7,113.25,114.4,116.61,117.4
Shohei Ohtani,DH,2021,194,100.39,102.3,104.32,105.08,106.7,107.6,108.68,109.98,111.71,113.04,114.94,117.01,119
Miguel Sano,1B,2021,151,99.42,99,100.05,101.6,104.85,106.7,107.8,109.4,110.55,112.4,114.55,116.65,116.7
Fernando Tatis Jr.,SS,2021,169,99.86,103.3,104.08,104.78,105.92,106.96,108.4,110.6,111.62,112,113.3,115.93,116.6
Ronald Acuna Jr.,OF,2021,130,97.88,100.05,101.3,102.32,104.06,106.61,108.38,109.7,110.1,111.9,114.77,117,117.4
Aaron Judge,OF,2021,219,98.46,100.6,101.5,103.48,104.64,106.24,107.15,108.44,109.93,111.56,114.61,117.22,119
Mike Zunino,C,2021,106,99.97,102.4,103.1,104,105.18,106.1,107.8,109.5,110.45,111.4,112.35,116.02,117.3
Mike Trout,OF,2021,39,97.78,100.5,101.66,102.34,106.53,108.82,109.15,109.76,110.78,111.36,112.12,114.63,115.5
Nelson Cruz,DH,2021,188,97.57,99.2,100.57,102.54,104.36,105.8,106.73,108.72,110.08,111.33,113.99,116.51,117.5
Joey Gallo,OF,2021,147,97.96,100.4,102.16,103.22,104.89,105.62,107.9,108.7,109.41,111.28,112.1,114.25,115.1
Franmil Reyes,DH,2021,127,97.91,102.4,103.39,104.3,104.9,105.6,106.75,108.76,109.94,111.12,111.71,113.69,114.9
Kyle Schwarber,OF/DH,2021,149,97.34,99.2,100.6,101.58,103.8,105.14,106.3,108.12,109.4,111.12,112.1,115.16,116.6
Bradley Zimmer,OF,2021,81,95.17,97.1,100.1,101.7,103.2,105.2,105.8,107.7,110.1,111,111.8,113.5,113.9
Yordan Alvarez,DH,2021,228,97.41,99,100.29,101.32,102.5,104.29,105.73,107.42,108.8,110.75,113.2,115.47,116.4
Byron Buxton,OF,2021,95,97.94,99.6,101.22,103.26,104.44,105.92,106.95,108,109.38,110.4,111.86,114.19,115.6
Josh Donaldson,3B,2021,172,98.72,100.7,102.32,103.62,104.42,105.57,106.55,107.84,109.04,110.4,111.15,113.25,114.7
Willson Contreras,C/DH,2021,122,96.04,99.5,100.66,101.4,102.67,103.44,104.18,105.72,107.68,110.26,111.19,113.3,114.3
Juan Soto,OF,2021,179,98.06,99.8,101.7,102.8,104.47,105.2,106.55,107.68,109.16,110.22,112.71,115.56,116.6
Bryce Harper,OF/DH,2021,193,97.64,100.5,101.88,102.9,103.8,104.8,106.1,107.32,108.82,110.1,111.8,113.85,116.3
Pete Alonso,1B/DH,2021,235,95.5,96.8,98.25,100.42,102.26,104.28,105.3,106.54,108.28,110,111.66,114.1,115.4
Bobby Dalbec,1B,2021,149,97.03,99.1,100.7,101.46,103.32,104.6,105.9,107.48,108.36,110,111.18,114.1,115.6
Jorge Soler,OF/DH,2021,188,95.84,97.15,99.2,100.5,103,105.09,106.1,107.4,108.09,109.96,112.5,114.77,117.9
Sam Hilliard,OF,2021,60,95.87,97.6,99.54,101.62,102.34,104.42,106.15,107.36,108.28,109.9,111.93,113.44,113.5
Avisail Garcia,OF,2021,166,95.19,97.6,98.68,100.7,102.3,103,105.18,107.1,108.5,109.7,110.58,112.88,116.7
Rafael Devers,3B,2021,227,97.34,100.1,101.8,102.8,104,105.02,105.8,107.1,108.2,109.58,111.17,113.62,114.4
Trevor Larnach,OF,2021,80,93.62,93.8,95.65,97.46,100.54,101.36,103.65,104.66,107.36,109.5,112.11,116,116
George Springer,OF,2021,124,95.38,97.45,98.3,99.94,100.8,103.54,104.68,106.38,107.96,109.49,111.3,113.13,116.4
Luis Robert,OF,2021,120,96.29,98.15,99.37,100.88,102.47,103.4,104,106.06,108.15,109.4,111.51,113.35,117.7
Yermin Mercedes,UT,2021,100,91.74,91.4,92.84,93.7,95.25,97.06,99.3,100.62,104.52,109.32,110.82,113.34,116.8
Tyler O'Neill,OF,2021,179,98.19,101.6,102.09,102.88,103.84,104.66,106.3,107.7,108.46,109.32,110.63,112.29,113.1
C.J. Cron,1B,2021,192,92.45,93.2,95.61,97.42,99.3,100.97,102.2,104.96,106.81,109.28,111.35,114.31,114.5
Rowdy Tellez,1B/DH,2021,115,96.65,97.7,99.77,100.64,102.1,103.06,105.15,106.92,108.4,109.24,109.95,114.08,114.8
Jorge Alfaro,C,2021,80,96.7,98.85,100.88,101.94,103.34,104.53,106.05,107.26,108.65,109.21,110.9,113.67,114.3
Manny Machado,3B,2021,245,96.81,98,100.14,101.14,102.92,104.38,105.7,107.2,108.44,109.16,111.58,113.7,119.6
Salvador Perez,C,2021,257,97.55,100.3,101.58,102.4,103.44,104.34,105.3,106.1,107.6,109.14,110.82,113.62,114.4
Jesus Sanchez,OF,2021,75,95.35,97.3,98.6,100.28,100.9,101.6,103.4,105.6,107.75,109.12,111.66,112.64,113.9
