last_name, first_name,player_id,year,player_age,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
Pujols, Albert,405395,2021,41,0.256,0.46,0.302,0.322,0.302,0.204,90.3,12.0,29.3,9.1
Cabrera, Miguel,408234,2021,38,0.234,0.42,0.305,0.315,0.301,0.186,91.4,10.0,32.8,8.3
Rivera, Rene,425784,2021,38,0.196,0.334,0.288,0.263,0.26,0.138,88.5,13.0,30.2,9.3
Wainwright, Adam,425794,2021,40,0.14,0.203,0.149,0.176,0.183,0.063,86.1,4.7,15.2,2.2
Molina, Yadier,425877,2021,39,0.255,0.406,0.29,0.306,0.3,0.151,88.0,15.2,33.8,5.2
Suzuki, Kurt,435559,2021,38,0.204,0.31,0.282,0.264,0.278,0.105,85.2,14.6,28.9,3.9
Cruz Jr., Nelson,443558,2021,41,0.265,0.514,0.346,0.364,0.341,0.249,92.9,11.8,31.8,13.6
Peralta, David,444482,2021,34,0.243,0.345,0.314,0.293,0.313,0.103,89.3,5.3,27.2,5.0
Pina, Manny,444489,2021,34,0.219,0.441,0.315,0.331,0.32,0.222,86.5,18.8,32.2,10.5
Escobar, Alcides,444876,2021,35,0.272,0.364,0.326,0.31,0.326,0.092,81.7,11.1,36.3,3.0
Longoria, Evan,446334,2021,36,0.253,0.487,0.352,0.352,0.344,0.235,94.1,15.5,34.2,13.4
Morton, Charlie,450203,2021,38,0.136,0.17,0.118,0.134,0.136,0.034,80.8,3.7,25.8,0.0
Lester, Jon,452657,2021,37,0.179,0.287,0.205,0.22,0.213,0.107,86.1,0.4,40.0,8.0
Cabrera, Asdrubal,452678,2021,36,0.214,0.331,0.297,0.286,0.302,0.117,87.8,14.5,30.0,6.0
Scherzer, Max,453286,2021,37,0.072,0.096,0.0,0.076,0.073,0.024,85.6,-4.6,22.9,0.0
